時間,設備,值
2024-10-26 11:27:07,SA-45/TEMPERATURE,25.17
2024-10-26 11:27:11,SA-45/TEMPERATURE,25.64
2024-10-26 11:27:15,SA-45/TEMPERATURE,25.17
2024-10-26 11:27:17,SA-45/TEMPERATURE,25.64
2024-10-26 11:27:21,SA-45/TEMPERATURE,25.17
2024-10-26 11:27:23,SA-45/TEMPERATURE,25.64
2024-10-26 11:27:27,SA-45/TEMPERATURE,25.17
2024-10-26 11:27:37,SA-45/TEMPERATURE,26.11
2024-10-26 11:27:39,SA-45/TEMPERATURE,25.17
2024-10-26 11:27:47,SA-45/TEMPERATURE,25.64
2024-10-26 11:27:55,SA-45/TEMPERATURE,25.17
2024-10-26 11:27:57,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:01,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:03,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:05,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:07,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:09,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:15,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:17,SA-45/TEMPERATURE,26.11
2024-10-26 11:28:19,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:27,SA-45/TEMPERATURE,26.11
2024-10-26 11:28:29,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:33,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:35,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:37,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:41,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:45,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:49,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:51,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:53,SA-45/TEMPERATURE,25.17
2024-10-26 11:28:57,SA-45/TEMPERATURE,25.64
2024-10-26 11:28:59,SA-45/TEMPERATURE,25.17
2024-10-26 11:29:03,SA-45/TEMPERATURE,25.64
2024-10-26 11:29:05,SA-45/TEMPERATURE,25.17
2024-10-26 11:29:21,SA-45/TEMPERATURE,25.64
2024-10-26 11:29:23,SA-45/TEMPERATURE,25.17
2024-10-26 11:29:27,SA-45/TEMPERATURE,25.64
2024-10-26 11:29:29,SA-45/TEMPERATURE,25.17
2024-10-26 11:29:45,SA-45/TEMPERATURE,25.64
2024-10-26 11:29:47,SA-45/TEMPERATURE,25.17
2024-10-26 11:34:13,SA-45/LED_LEVEL,4
2024-10-26 11:34:13,SA-45/TEMPERATURE,25.64
2024-10-26 11:34:13,SA-45/LED_LEVEL,3
2024-10-26 11:34:14,SA-45/LED_LEVEL,4
2024-10-26 11:34:15,SA-45/TEMPERATURE,25.17
2024-10-26 11:34:25,SA-45/TEMPERATURE,24.7
2024-10-26 11:34:25,SA-45/LED_LEVEL,3
2024-10-26 11:34:26,SA-45/LED_LEVEL,2
2024-10-26 11:34:27,SA-45/LED_LEVEL,4
2024-10-26 11:34:27,SA-45/TEMPERATURE,25.17
2024-10-26 11:34:27,SA-45/LED_LEVEL,5
2024-10-26 11:34:28,SA-45/LED_LEVEL,6
2024-10-26 11:34:29,SA-45/LED_LEVEL,7
2024-10-26 11:34:30,SA-45/LED_LEVEL,6
2024-10-26 11:34:30,SA-45/LED_LEVEL,5
2024-10-26 11:34:31,SA-45/LED_LEVEL,4
2024-10-26 11:34:32,SA-45/LED_LEVEL,3
2024-10-26 11:34:33,SA-45/LED_LEVEL,2
2024-10-26 11:34:34,SA-45/LED_LEVEL,4
2024-10-26 11:34:35,SA-45/TEMPERATURE,24.7
2024-10-26 11:34:37,SA-45/TEMPERATURE,25.17
2024-10-26 11:34:50,SA-45/LED_LEVEL,5
2024-10-26 11:34:51,SA-45/LED_LEVEL,7
2024-10-26 11:34:52,SA-45/LED_LEVEL,6
2024-10-26 11:34:52,SA-45/LED_LEVEL,5
2024-10-26 11:34:53,SA-45/LED_LEVEL,4
2024-10-26 11:34:53,SA-45/LED_LEVEL,3
2024-10-26 11:34:54,SA-45/LED_LEVEL,4
2024-10-26 11:34:54,SA-45/LED_LEVEL,6
2024-10-26 11:34:55,SA-45/TEMPERATURE,25.64
2024-10-26 11:34:55,SA-45/LED_LEVEL,7
2024-10-26 11:34:56,SA-45/LED_LEVEL,8
2024-10-26 11:34:56,SA-45/LED_LEVEL,9
2024-10-26 11:34:57,SA-45/TEMPERATURE,25.17
2024-10-26 11:34:57,SA-45/LED_LEVEL,8
2024-10-26 11:34:58,SA-45/LED_LEVEL,6
2024-10-26 11:34:58,SA-45/LED_LEVEL,5
2024-10-26 11:34:59,SA-45/LED_LEVEL,4
2024-10-26 11:34:59,SA-45/LED_LEVEL,5
2024-10-26 11:35:00,SA-45/LED_LEVEL,6
2024-10-26 11:35:00,SA-45/LED_LEVEL,7
2024-10-26 11:35:01,SA-45/LED_LEVEL,8
2024-10-26 11:35:01,SA-45/LED_LEVEL,9
2024-10-26 11:35:03,SA-45/LED_LEVEL,7
2024-10-26 11:35:03,SA-45/LED_LEVEL,6
2024-10-26 11:35:04,SA-45/LED_LEVEL,5
2024-10-26 11:35:04,SA-45/LED_LEVEL,4
2024-10-26 11:35:05,SA-45/LED_LEVEL,3
2024-10-26 11:35:05,SA-45/LED_LEVEL,5
2024-10-26 11:35:06,SA-45/LED_LEVEL,6
2024-10-26 11:35:06,SA-45/LED_LEVEL,7
2024-10-26 11:35:07,SA-45/LED_LEVEL,8
2024-10-26 11:35:08,SA-45/LED_LEVEL,9
2024-10-26 11:36:07,SA-45/TEMPERATURE,24.7
2024-10-26 11:36:09,SA-45/TEMPERATURE,25.17
2024-10-26 11:36:13,SA-45/TEMPERATURE,24.7
2024-10-26 11:36:15,SA-45/TEMPERATURE,25.17
2024-10-26 11:38:21,SA-45/TEMPERATURE,25.64
2024-10-26 11:38:23,SA-45/TEMPERATURE,25.17
2024-10-26 11:38:37,SA-45/TEMPERATURE,25.64
2024-10-26 11:38:39,SA-45/TEMPERATURE,25.17
2024-10-26 11:38:55,SA-45/TEMPERATURE,25.64
2024-10-26 11:38:58,SA-45/TEMPERATURE,25.17
2024-10-26 11:39:09,SA-45/TEMPERATURE,25.64
2024-10-26 11:39:11,SA-45/TEMPERATURE,25.17
2024-10-26 11:39:19,SA-45/TEMPERATURE,25.64
2024-10-26 11:39:21,SA-45/TEMPERATURE,25.17
2024-10-26 11:40:09,SA-45/TEMPERATURE,25.64
2024-10-26 11:40:11,SA-45/TEMPERATURE,25.17
2024-10-26 11:41:35,SA-45/TEMPERATURE,24.7
2024-10-26 11:41:37,SA-45/TEMPERATURE,25.17
2024-10-26 11:41:45,SA-45/TEMPERATURE,24.7
2024-10-26 11:41:47,SA-45/TEMPERATURE,25.17
2024-10-26 11:41:49,SA-45/TEMPERATURE,24.7
2024-10-26 11:41:51,SA-45/TEMPERATURE,25.17
2024-10-26 11:41:55,SA-45/TEMPERATURE,24.7
2024-10-26 11:41:59,SA-45/TEMPERATURE,25.17
2024-10-26 11:42:35,SA-45/TEMPERATURE,24.7
2024-10-26 11:42:37,SA-45/TEMPERATURE,25.17
2024-10-26 11:48:16,SA-45/LED_LEVEL,8
2024-10-26 11:48:16,SA-45/LED_LEVEL,5
2024-10-26 11:48:17,SA-45/LED_LEVEL,6
2024-10-26 11:48:17,SA-45/LED_LEVEL,7
2024-10-26 11:48:30,SA-45/TEMPERATURE,24.7
2024-10-26 11:48:34,SA-45/TEMPERATURE,25.17
2024-10-26 11:51:02,SA-45/LED_LEVEL,6
2024-10-26 11:51:25,SA-45/TEMPERATURE,24.7
2024-10-26 11:51:27,SA-45/TEMPERATURE,25.17
2024-10-26 11:52:31,SA-45/LED_LEVEL,5
2024-10-26 11:52:31,SA-45/LED_LEVEL,4
2024-10-26 11:52:32,SA-45/LED_LEVEL,3
2024-10-26 11:52:32,SA-45/LED_LEVEL,4
2024-10-26 11:52:33,SA-45/LED_LEVEL,5
2024-10-26 11:52:33,SA-45/LED_LEVEL,6
2024-10-26 11:52:34,SA-45/LED_LEVEL,5
2024-10-26 11:52:35,SA-45/LED_LEVEL,4
2024-10-26 11:52:59,SA-45/TEMPERATURE,25.64
2024-10-26 11:53:01,SA-45/TEMPERATURE,25.17
2024-10-26 11:53:47,SA-45/TEMPERATURE,25.64
2024-10-26 11:53:49,SA-45/TEMPERATURE,25.17
2024-10-26 11:53:52,SA-45/LED_LEVEL,5
2024-10-26 11:53:52,SA-45/LED_LEVEL,6
2024-10-26 11:53:53,SA-45/LED_LEVEL,7
2024-10-26 11:53:54,SA-45/LED_LEVEL,5
2024-10-26 11:53:54,SA-45/LED_LEVEL,4
2024-10-26 11:53:55,SA-45/TEMPERATURE,25.64
2024-10-26 11:53:55,SA-45/LED_LEVEL,5
2024-10-26 11:53:55,SA-45/LED_LEVEL,6
2024-10-26 11:53:56,SA-45/LED_LEVEL,7
2024-10-26 11:53:56,SA-45/LED_LEVEL,8
2024-10-26 11:53:57,SA-45/TEMPERATURE,25.17
2024-10-26 11:53:57,SA-45/LED_LEVEL,7
2024-10-26 11:53:59,SA-45/LED_LEVEL,6
2024-10-26 11:53:59,SA-45/LED_LEVEL,7
2024-10-26 11:54:01,SA-45/TEMPERATURE,25.64
2024-10-26 11:54:03,SA-45/TEMPERATURE,25.17
2024-10-26 11:54:07,SA-45/TEMPERATURE,25.64
2024-10-26 11:54:09,SA-45/TEMPERATURE,25.17
2024-10-26 11:54:25,SA-45/TEMPERATURE,25.64
2024-10-26 11:54:27,SA-45/TEMPERATURE,25.17
2024-10-26 11:54:31,SA-45/TEMPERATURE,25.64
2024-10-26 11:54:33,SA-45/TEMPERATURE,25.17
2024-10-26 11:54:39,SA-45/TEMPERATURE,25.64
2024-10-26 11:54:41,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:01,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:03,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:05,SA-45/TEMPERATURE,26.11
2024-10-26 11:55:07,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:09,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:17,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:19,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:21,SA-45/TEMPERATURE,26.11
